Timestamp,Visual_Emotion,Audio_Emotion,Combined_Emotion
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:34,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:35,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:36,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
2024-11-03 10:54:37,Surprise,Neutral,Mixed
